Orden,Familia,Taxa,Ingles,Espanol_CR,Estatus,Species
,,,,,,NA
Tinamiformes,,,,,,NA
,Tinamidae,,,,,NA
,,Nothocercus bonapartei,Highland Tinamou,"Tinamú Serrano (Gallina de monte de Altura, Gongolona)",R,NA
,,Tinamus major,Great Tinamou,"Tinamú Grande (Gallina de monte, Perdiz, Gongolona, Yerre)",R,NA
,,Crypturellus soui,Little Tinamou,"Tinamú Chico (Gallina de monte Chica, Gongolona, Yerre, Ponchita)",R,NA
,,Crypturellus cinnamomeus,Thicket Tinamou,"Tinamú Canelo (Gallina de monte, Gongolona, Perdiz)",R,Thicket Tinamou
,,Crypturellus boucardi,Slaty-breasted Tinamou,Tinamú Pizarroso (Gallina de monte Patirroja),R,NA
Anseriformes,,,,,,NA
,Anatidae,,,,,NA
,,Dendrocygna viduata,White-faced Whistling-Duck,Pijije Cariblanco (Piche Careto),R?,NA
,,Dendrocygna autumnalis,Black-bellied Whistling-Duck,"Pijije Común (Piche, Quichichi, Pichichi)",R,Black-bellied Whistling-Duck
,,Dendrocygna bicolor,Fulvous Whistling-Duck,Pijije Canelo (Piche Canelo),R,NA
,,Sarkidiornis melanotos,Comb Duck,Pato Crestudo,A,NA
,,Cairina moschata,Muscovy Duck,Pato Real (Pato Perulero),R,Muscovy Duck
,,Spatula discors,Blue-winged Teal,"Cerceta Aliazul (Pato Canadiense, Zarceta, Carraco)",M,Blue-winged Teal
,,Spatula cyanoptera,Cinnamon Teal,Cerceta Castaña (Carraco),M,NA
,,Spatula clypeata,Northern Shoveler,Pato Cuchara (Carraco),M,Northern Shoveler
,,Mareca americana,American Wigeon,Pato Calvo (Carraco),M,NA
,,Anas platyrhynchos,Mallard,Pato Cabeciverde (Carraco),M-SC,NA
,,Anas bahamensis,White-cheeked Pintail,Pato Gargantilla,A,NA
,,Anas acuta,Northern Pintail,Pato Rabudo (Carraco Colilargo),M,NA
,,Anas crecca,Green-winged Teal,"Cerceta Aliverde (Carraco, Zarceta)",M,NA
,,Aythya valisineria,Canvasback,Porrón Picudo,A,NA
,,Aythya americana,Redhead,Porrón Americano (Pato Cabeza Roja),A,NA
,,Aythya collaris,Ring-necked Duck,Porrón Collarejo (Pato),M,NA
,,Aythya marila,Greater Scaup,Porrón Mayor (Pato),A- SC,NA
,,Aythya affinis,Lesser Scaup,Porrón Menor (Pato),M,NA
,,Lophodytes cucullatus,Hooded Merganser,Serreta Capuchona (Pato de Cresta),A,NA
,,Nomonyx dominicus,Masked Duck,Pato Enmascarado,R,NA
,,Oxyura jamaicensis,Ruddy Duck,Pato Cariblanco,A,NA
Galliformes,,,,,,NA
,Cracidae,,,,,NA
,,Ortalis vetula,Plain Chachalaca,Chachalaca Olivácea (Chachalaca),R,Plain Chachalaca
,,Ortalis cinereiceps,Gray-headed Chachalaca,"Chachalaca Cabecigrís (Chachalaca, Pavita)",R,NA
,,Penelope purpurascens,Crested Guan,Pava Crestada (Pava Granadera),R,Crested Guan
,,Chamaepetes unicolor,Black Guan,Pava Negra (Pajuila),R-END,NA
,,Crax rubra,Great Curassow,"Pavón Grande (Pavón, Granadera)",R,Great Curassow
,Odontophoridae,,,,,NA
,,Rhynchortyx cinctus,Tawny-faced Quail,Codorniz Carirrufa,R,NA
,,Dendrortyx leucophrys,Buffy-crowned Wood-Partridge,Perdiz Montañera (Chirrascuá),R,NA
,,Colinus cristatus,Crested Bobwhite,Codorniz Crestada (Codorniz de Monte),R,Crested Bobwhite
,,Odontophorus gujanensis,Marbled Wood-Quail,Codorniz Corcovado (Julián Piojo),R,NA
,,Odontophorus melanotis,Black-eared Wood-Quail,"Codorniz Orejinegra (Chirrascuá, Gallinita)",R-END,NA
,,Odontophorus leucolaemus,Black-breasted Wood-Quail,"Codorniz Pechinegra (Gallinita de Monte, Chirrascuá, Huevos de Chancho)",R-END,NA
,,Odontophorus guttatus,Spotted Wood-Quail,Codorniz Moteada,R,NA
Podicipediformes,,,,,,NA
,Podicipedidae,,,,,NA
,,Tachybaptus dominicus,Least Grebe,Zambullidor Enano,R,Least Grebe
,,Podilymbus podiceps,Pied-billed Grebe,Zambullidor Piquipinto (Pico Pinto),"R, M?",NA
,,Podiceps nigricollis,Eared Grebe,Zambullidor Mediano,A- SC,NA
Columbiformes,,,,,,NA
,Columbidae,,,,,NA
,,Columba livia,Rock Pigeon,Paloma Doméstica (Paloma de Castilla),R,NA
,,Patagioenas cayennensis,Pale-vented Pigeon,Paloma Colorada (Paloma Morada),R,Pale-vented Pigeon
,,Patagioenas speciosa,Scaled Pigeon,Paloma Escamosa (Paloma Morada),R,Scaled Pigeon
,,Patagioenas leucocephala,White-crowned Pigeon,Paloma Coroniblanca,A,NA
,,Patagioenas flavirostris,Red-billed Pigeon,Paloma Piquirroja (Paloma Morada Común),R,Red-billed Pigeon
,,Patagioenas fasciata,Band-tailed Pigeon,Paloma Collareja,R,Band-tailed Pigeon
,,Patagioenas subvinacea,Ruddy Pigeon,Paloma Rojiza (Paloma Morada),R,NA
,,Patagioenas nigrirostris,Short-billed Pigeon,"Paloma Piquicorta (Paloma Morada, Dos-tontos-son)",R,Short-billed Pigeon
,,Streptopelia decaocto,Eurasian Collared-Dove,Tórtola Turca,A-R?,NA
,,Columbina inca,Inca Dove,"Tortolita Colilarga (San Juan, Tórtola)",R,Inca Dove
,,Columbina passerina,Common Ground Dove,"Tortolita Común (Tortolita, Palomita)",R,NA
,,Columbina minuta,Plain-breasted Ground Dove,"Tortolita Menuda (Tortolita, Conchita)",R,NA
,,Columbina talpacoti,Ruddy Ground Dove,"Tortolita Rojiza (Tortolita, Palomita Colorada)",R,NA
,,Claravis pretiosa,Blue Ground Dove,Tortolita Azulada,R,NA
,,Paraclaravis mondetoura,Maroon-chested Ground Dove,Tortolita Serranera,R,NA
,,Geotrygon montana,Ruddy Quail-Dove,Paloma-Perdiz Rojiza,R,NA
,,Geotrygon violacea,Violaceous Quail-Dove,Paloma-Perdiz Violácea,R,NA
,,Leptotrygon veraguensis,Olive-backed Quail-Dove,Paloma-Perdiz Bigotiblanca,R,NA
,,Leptotila verreauxi,White-tipped Dove,"Paloma Coliblanca (Coliblanca, Yuré)",R,White-tipped Dove
,,Leptotila cassinii,Gray-chested Dove,Paloma Pechigrís (Yuré),R,Gray-chested Dove
,,Leptotila plumbeiceps,Gray-headed Dove,Paloma Coronigrís (Yuré),R,Gray-headed Dove
,,Zentrygon costaricensis,Buff-fronted Quail-Dove,Paloma-Perdiz Costarricense,R-END,NA
,,Zentrygon lawrencii,Purplish-backed Quail-Dove,Paloma-Perdiz Sombría,R,NA
,,Zentrygon chiriquensis,Chiriqui Quail-Dove,Paloma-Perdiz Pechicanela,R-END,NA
,,Zenaida asiatica,White-winged Dove,Paloma Aliblanca (Arrocera),"R, M",White-winged Dove
,,Zenaida auriculata,Eared Dove,Paloma Torcaza,A,NA
,,Zenaida macroura,Mourning Dove,Paloma Rabuda,"R, M",Mourning Dove
Cuculiformes,,,,,,NA
,Cuculidae,,,,,NA
,,Crotophaga major,Greater Ani,Garrapatero Mayor (Tijo),A,NA
,,Crotophaga ani,Smooth-billed Ani,"Garrapatero Piquiliso (Tijo, Tinco)",R,NA
,,Crotophaga sulcirostris,Groove-billed Ani,"Garrapatero Piquiestriado (Tijo, Tinco, Zopilotillo)",R,Groove-billed Ani
,,Tapera naevia,Striped Cuckoo,"Cuclillo Listado (Rondero, Tres Pesos, Ave de las Ánimas)",R,NA
,,Dromococcyx phasianellus,Pheasant Cuckoo,Cuclillo Faisán,R,NA
,,Morococcyx erythropygus,Lesser Ground-Cuckoo,Cuclillo Sabanero (Horero),R,Lesser Ground-Cuckoo
,,Neomorphus geoffroyi,Rufous-vented Ground-Cuckoo,Cuco Hormiguero,R,NA
,,Piaya cayana,Squirrel Cuckoo,"Cuco Ardilla (Bobo Chiso, Cacao, San Miguel)",R,Squirrel Cuckoo
,,Coccyzus americanus,Yellow-billed Cuckoo,Cuclillo Piquigualdo,M,NA
,,Coccyzus minor,Mangrove Cuckoo,Cuclillo de Antifaz,"R?, M",Mangrove Cuckoo
,,Coccyzus ferrugineus,Cocos Cuckoo,Cuclillo de la Isla del Coco,R-END,NA
,,Coccyzus erythropthalmus,Black-billed Cuckoo,Cuclillo Piquinegro,M,NA
Caprimulgiformes,,,,,,NA
,Caprimulgidae,,,,,NA
,,Lurocalis semitorquatus,Short-tailed Nighthawk,Añapero Colicorto,R,NA
,,Chordeiles acutipennis,Lesser Nighthawk,Añapero Menor (Gavilán),"R, M",Lesser Nighthawk
,,Chordeiles minor,Common Nighthawk,Añapero Zumbón,"RR, M",Common Nighthawk
,,Nyctidromus albicollis,Common Pauraque,"Tapacaminos Común (Cuyeo, Pucuyo)",R,Common Pauraque
,,Nyctiphrynus ocellatus,Ocellated Poorwill,Chotacabras Ocelado,R,NA
,,Antrostomus carolinensis,Chuck-will's-widow,Chotacabras de Paso,M,Chuck-will's-widow
,,Antrostomus rufus,Rufous Nightjar,Chotacabras Rojizo,R,NA
,,Antrostomus vociferus,Eastern Whip-poor-will,Chotacabras Norteño,M?,NA
,,Antrostomus saturatus,Dusky Nightjar,Chotacabras Sombrío (Tres Cobijas),R-END,NA
,,Hydropsalis cayennensis,White-tailed Nightjar,Chotacabras Coliblanco,R,NA
Steatornithiformes,,,,,,NA
,Steatornithidae,,,,,NA
,,Steatornis caripensis,Oilbird,Guácharo,R?,NA
Nyctibiiformes,,,,,,NA
,Nyctibiidae,,,,,NA
,,Nyctibius grandis,Great Potoo,"Nictibio Grande (Pájaro Estaca, Leona, Bruja)",R,Great Potoo
,,Nyctibius griseus,Common Potoo,"Nictibio Común (Pájaro Estaca, Pájaro Palo)",R,NA
,,Nyctibius jamaicensis,Northern Potoo,"Nictibio Norteño (Pájaro Estaca, Gozona)",R,Northern Potoo
Apodiformes,,,,,,NA
,Apodidae,,,,,NA
,,Cypseloides niger,Black Swift,Vencejo Negro,"R, M",NA
,,Cypseloides cryptus,White-chinned Swift,Vencejo Sombrío,R,NA
,,Cypseloides cherriei,Spot-fronted Swift,Vencejo de Cherrie,R,NA
,,Streptoprocne rutila,Chestnut-collared Swift,Vencejo Cuellicastaño,R,NA
,,Streptoprocne zonaris,White-collared Swift,Vencejón Collarejo (Golondrón),R,White-collared Swift
,,Chaetura pelagica,Chimney Swift,Vencejo de Paso,M,NA
,,Chaetura vauxi,Vaux's Swift,Vencejo Común,R,Vaux's Swift
,,Chaetura fumosa,Costa Rican Swift,Vencejo de Rabadilla Clara,R-END,NA
,,Chaetura cinereiventris,Gray-rumped Swift,Vencejo Lomigrís,R,NA
,,Panyptila cayennensis,Lesser Swallow-tailed Swift,Vencejo Tijereta Menor (Macuá),R,NA
,,Panyptila sanctihieronymi,Great Swallow-tailed Swift,Vencejo Tijereta Mayor,A- SC,NA
,Trochilidae,,,,,NA
,,Florisuga mellivora,White-necked Jacobin,Jacobino Nuquiblanco,R,White-necked Jacobin
,,Eutoxeres aquila,White-tipped Sicklebill,Pico de Hoz,R,NA
,,Glaucis aeneus,Bronzy Hermit,Ermitaño Bronceado,R,NA
,,Threnetes ruckeri,Band-tailed Barbthroat,Ermitaño Barbudo,R,NA
,,Phaethornis guy,Green Hermit,Ermitaño Verde,R,NA
,,Phaethornis longirostris,Long-billed Hermit,Ermitaño Colilargo,R,NA
,,Phaethornis striigularis,Stripe-throated Hermit,Ermitaño Enano,R,Stripe-throated Hermit
,,Doryfera ludovicae,Green-fronted Lancebill,Pico de Lanza Frentiverde,R,NA
,,Colibri delphinae,Brown Violetear,Colibrí Orejivioláceo Pardo,R,NA
,,Colibri cyanotus,Lesser Violetear,Colibrí Orejivioláceo Verde,R,NA
,,Heliothryx barroti,Purple-crowned Fairy,Colibrí Picopunzón,R,NA
,,Anthracothorax prevostii,Green-breasted Mango,Colibrí Manguito Pechiverde,R,Green-breasted Mango
,,Anthracothorax veraguensis,Veraguan Mango,Colibrí Manguito de Veragua,R?,NA
,,Discosura conversii,Green Thorntail,Colibrí Colicerda Verde,R,NA
,,Lophornis delattrei,Rufous-crested Coquette,Coqueta Crestirrojiza,A,NA
,,Lophornis helenae,Black-crested Coquette,Coqueta Crestinegra,R,NA
,,Lophornis adorabilis,White-crested Coquette,Coqueta Crestiblanca,R-END,NA
,,Heliodoxa jacula,Green-crowned Brilliant,Colibrí Brillante Frentiverde,R,NA
,,Eugenes spectabilis,Talamanca Hummingbird,Colibrí Magnífico,R-END,NA
,,Panterpe insignis,Fiery-throated Hummingbird,Colibrí Garganta de Fuego,R-END,NA
,,Heliomaster longirostris,Long-billed Starthroat,Colibrí Piquilargo (Pochotero del Sur),R,NA
,,Heliomaster constantii,Plain-capped Starthroat,Colibrí Pochotero,R,Plain-capped Starthroat
,,Lampornis hemileucus,White-bellied Mountain-gem,Colibrí Montañés Vientriblanco,R-END,NA
,,Lampornis calolaemus,Purple-throated Mountain-gem,Colibrí Montañés Gorgimorado,R-END,NA
,,Lampornis castaneoventris,White-throated Mountain-gem,Colibrí Montañés Gorgiblanco,R-END,NA
,,Calliphlox bryantae,Magenta-throated Woodstar,Colibrí Estrellita Gorgimorada,R-END,NA
,,Archilochus colubris,Ruby-throated Hummingbird,Colibrí Garganta de Rubí,M,Ruby-throated Hummingbird
,,Selasphorus flammula,Volcano Hummingbird,"Colibrí Chispita Volcanera (Chispita, Colibrí Mosca)",R-END,NA
,,Selasphorus scintilla,Scintillant Hummingbird,"Colibrí Chispita Gorginaranja (Chispita, Colibrí Mosca)",R-END,NA
,,Chlorostilbon canivetii,Canivet's Emerald,Esmeralda Rabihorcada,R,Canivet's Emerald
,,Chlorostilbon assimilis,Garden Emerald,Esmeralda Jardinero,R-END,NA
,,Klais guimeti,Violet-headed Hummingbird,Colibrí Cabeciazul,R,NA
,,Phaeochroa cuvierii,Scaly-breasted Hummingbird,Colibrí Pechiescamado,R,Scaly-breasted Hummingbird
,,Campylopterus hemileucurus,Violet Sabrewing,Ala de Sable Violáceo,R,NA
,,Eupherusa eximia,Stripe-tailed Hummingbird,Colibrí Colirrayado,R,NA
,,Eupherusa nigriventris,Black-bellied Hummingbird,Colibrí Pechinegro,R-END,NA
,,Elvira chionura,White-tailed Emerald,Esmeralda Coliblanca,R-END,NA
,,Elvira cupreiceps,Coppery-headed Emerald,Esmeralda de Coronilla Cobriza,R-END,NA
,,Microchera albocoronata,Snowcap,Colibrí Copete de Nieve,R-END,NA
,,Chalybura urochrysia,Bronze-tailed Plumeleteer,Colibrí Patirrojo,R,NA
,,Thalurania colombica,Crowned Woodnymph,Colibrí Ninfa Verde-Violeta,R,NA
,,Amazilia candida,White-bellied Emerald,Amazilia Pechiblanca (Gorrión),R?,NA
,,Amazilia amabilis,Blue-chested Hummingbird,Amazilia Pechiazul (Gorrión),R,NA
,,Amazilia decora,Charming Hummingbird,Amazilia Corona de Berilo (Gorrión),R-END,NA
,,Amazilia boucardi,Mangrove Hummingbird,Amazilia Manglera (Gorrión),R-END,NA
,,Amazilia cyanura,Blue-tailed Hummingbird,Amazilia Coliazul (Gorrión),R,NA
,,Amazilia hoffmanni,Blue-vented Hummingbird,Amazilia Culiazul (Gorrión),R,NA
,,Amazilia edward,Snowy-bellied Hummingbird,Amazilia Vientriblanca (Gorrión),R-END,NA
,,Amazilia tzacatl,Rufous-tailed Hummingbird,Amazilia Rabirrufa (Gorrión),R,Rufous-tailed Hummingbird
,,Amazilia rutila,Cinnamon Hummingbird,Amazilia Canela (Gorrión),R,Cinnamon Hummingbird
,,Lepidopyga coeruleogularis,Sapphire-throated Hummingbird,Colibrí Garganta de Zafiro,R,NA
,,Hylocharis eliciae,Blue-throated Goldentail,Colibrí Colidorado,R,Blue-throated Goldentail
Gruiformes,,,,,,NA
,Rallidae,,,,,NA
,,Micropygia schomburgkii,Ocellated Crake,Polluela Ocelada,R,NA
,,Laterallus ruber,Ruddy Crake,Polluela Colorada,R?- SC,NA
,,Laterallus albigularis,White-throated Crake,"Polluela Gargantiblanca (Freidora, Huevo frito)",R,NA
,,Laterallus exilis,Gray-breasted Crake,Polluela Pechigrís,R,NA
,,Laterallus jamaicensis,Black Rail,Polluela Negra,"R?, M?- SC",NA
,,Rallus longirostris,Mangrove Rail,Rascón Picudo,R,NA
,,Aramides axillaris,Rufous-necked Wood-Rail,Rascón Cuellirrufo,R,NA
,,Aramides albiventris,Russet-naped Wood-Rail,Rascón Pomponé,R,NA
,,Aramides cajaneus,Gray-cowled Wood-Rail,"Rascón Cuelligrís (Chirincoco, Pomponé, Pone-pone)",R,NA
,,Amaurolimnas concolor,Uniform Crake,Rascón Café,R,NA
,,Porzana carolina,Sora,Polluela Sora,M,Sora
,,Hapalocrex flaviventer,Yellow-breasted Crake,Polluela Pechiamarilla,R,NA
,,Neocrex erythrops,Paint-billed Crake,Polluela Piquirroja,R,NA
,,Pardirallus maculatus,Spotted Rail,Rascón Moteado,R,NA
,,Porphyrio martinicus,Purple Gallinule,"Gallareta Morada (Polla de Agua, Gallina de Agua, Calamón Morada)",R,Purple Gallinule
,,Gallinula galeata,Common Gallinule,Gallareta Frentirroja (Gallineta),"R, M?",NA
,,Fulica americana,American Coot,Focha Americana,"R, M",American Coot
,Heliornithidae,,,,,NA
,,Heliornis fulica,Sungrebe,"Pato Cantil (Perrito de Agua, Toboba)",R,NA
,Aramidae,,,,,NA
,,Aramus guarauna,Limpkin,Carao (Correa),R,NA
Charadriiformes,,,,,,NA
,Burhinidae,,,,,NA
,,Burhinus bistriatus,Double-striped Thick-Knee,Alcaraván Americano (Alcaraván),R,NA
,Recurvirostridae,,,,,NA
,,Himantopus mexicanus,Black-necked Stilt,Cigüeñuela Cuellinegro (Soldadito),"R, M",Black-necked Stilt
,,Recurvirostra americana,American Avocet,Avoceta Americana,M,NA
,Haematopodidae,,,,,NA
,,Haematopus palliatus,American Oystercatcher,Ostrero Americano,"R, M",American Oystercatcher
,Charadriidae,,,,,NA
,,Vanellus chilensis,Southern Lapwing,Chorlitazo Sureño (Avefría),R,Southern Lapwing
,,Pluvialis squatarola,Black-bellied Plover,Chorlito Gris,M,Black-bellied Plover
,,Pluvialis dominica,American Golden-Plover,Chorlito Dorado Menor,M,NA
,,Pluvialis fulva,Pacific Golden-Plover,Chorlito Dorado del Pacífico,A,NA
,,Charadrius vociferus,Killdeer,"Chorlitejo de Dos Collares (Pijije, Tildío)","R, M",Killdeer
,,Charadrius semipalmatus,Semipalmated Plover,"Chorlitejo Semipalmado (Chorlito, Turillo)",M,Semipalmated Plover
,,Charadrius melodus,Piping Plover,Chorlitejo Silbador,A,NA
,,Charadrius wilsonia,Wilson's Plover,"Chorlitejo Picudo (Chorlito Gritón, Turillo)","R, M",Wilson's Plover
,,Charadrius collaris,Collared Plover,Chorlitejo Collarejo (Turillo),R,Collared Plover
,,Charadrius nivosus,Snowy Plover,"Chorlitejo Patinegro (Chorlito, Turillo)",M,Snowy Plover
,Jacanidae,,,,,NA
,,Jacana spinosa,Northern Jacana,"Jacana Centroamericana (Cirujano, Gallito de Agua, Mulita, Yegüita)",R,Northern Jacana
,,Jacana jacana,Wattled Jacana,Jacana Sureña,A,NA
,Scolopacidae,,,,,NA
,,Bartramia longicauda,Upland Sandpiper,Pradero (Gansa),M,NA
,,Numenius phaeopus,Whimbrel,"Zarapito Trinador (Cherelá, Zarceta)",M,Whimbrel
,,Numenius americanus,Long-billed Curlew,Zarapito Piquilargo,M,NA
,,Limosa haemastica,Hudsonian Godwit,Aguja Lomiblanca,M,NA
,,Limosa fedoa,Marbled Godwit,Aguja Canela,M,NA
,,Arenaria interpres,Ruddy Turnstone,Vuelvepiedras Rojizo,M,Ruddy Turnstone
,,Calidris canutus,Red Knot,Correlimos Grande,M,Red Knot
,,Calidris virgata,Surfbird,Chorlito de Rompientes,M,NA
,,Calidris pugnax,Ruff,Combatiente,M- SC,NA
,,Calidris himantopus,Stilt Sandpiper,"Correlimos Patilargo (Patudo, Becacina)",M,NA
,,Calidris ferruginea,Curlew Sandpiper,Correlimos Zarapitín,M,NA
,,Calidris alba,Sanderling,Playero Arenero,M,Sanderling
,,Calidris alpina,Dunlin,Correlimos Pechinegro,M,NA
,,Calidris bairdii,Baird's Sandpiper,"Correlimos de Baird (Patudo, Becacina)",M,NA
,,Calidris minutilla,Least Sandpiper,"Correlimos Menudo (Patudo, Becacina)",M,Least Sandpiper
,,Calidris fuscicollis,White-rumped Sandpiper,"Correlimos Lomiblanco (Patudo, Becacina)",M,NA
,,Calidris subruficollis,Buff-breasted Sandpiper,Praderito Pechianteado (Zarceta),M,NA
,,Calidris melanotos,Pectoral Sandpiper,"Correlimos Pechirrayado (Patudo, Becacina)",M,NA
,,Calidris pusilla,Semipalmated Sandpiper,Correlimos Semipalmado,M,Semipalmated Sandpiper
,,Calidris mauri,Western Sandpiper,"Correlimos Occidental (Patudo, Becacina)",M,Western Sandpiper
,,Limnodromus griseus,Short-billed Dowitcher,Agujeta Común,M,Short-billed Dowitcher
,,Limnodromus scolopaceus,Long-billed Dowitcher,Agujeta Silbona,M,NA
,,Gallinago delicata,Wilson's Snipe,Becacina Común (Becada),M,NA
,,Actitis macularius,Spotted Sandpiper,"Andarríos Maculado (Alzacolita, Piririza, Tigüiza)",M,Spotted Sandpiper
,,Tringa solitaria,Solitary Sandpiper,Andarríos Solitario (Tigüiza),M,Solitary Sandpiper
,,Tringa incana,Wandering Tattler,Correlimos Vagabundo,M,NA
,,Tringa flavipes,Lesser Yellowlegs,"Patiamarillo Menor (Pijije, Zarceta)",M,Lesser Yellowlegs
,,Tringa semipalmata,Willet,Pigüilo,M,Willet
,,Tringa melanoleuca,Greater Yellowlegs,"Patiamarillo Mayor (Correlimos Grande, Pijije, Zarceta)",M,Greater Yellowlegs
,,Phalaropus tricolor,Wilson's Phalarope,Falaropo Tricolor,M,NA
,,Phalaropus lobatus,Red-necked Phalarope,Falaropo Picofino,M,NA
,,Phalaropus fulicarius,Red Phalarope,Falaropo Rojo,M,NA
,Stercorariidae,,,,,NA
,,Stercorarius maccormicki,South Polar Skua,Salteador Polar,A- SC,NA
,,Stercorarius pomarinus,Pomarine Jaeger,Págalo Pomarino,M,NA
,,Stercorarius parasiticus,Parasitic Jaeger,Págalo Parásito,M,NA
,,Stercorarius longicaudus,Long-tailed Jaeger,Págalo Colilargo,A,NA
,Laridae,,,,,NA
,,Creagrus furcatus,Swallow-tailed Gull,Gaviota Tijereta,M,NA
,,Rissa tridactyla,Black-legged Kittiwake,Gaviota Patinegra,A,NA
,,Xema sabini,Sabine's Gull,Gaviota de Sabine,M,Sabine's Gull
